generation,best_fitness,mean_fitness,best_ever_fitness,best_ever_generation,dna_file,is_checkpoint,is_new_record
0,18466.8115149220,2451.4503114480,18466.8115149220,0,best_snakes/generation_000.dna,true,true
1,31143.7060909779,3506.6881938877,31143.7060909779,1,,false,true
2,43454.6823424142,5172.1479929400,43454.6823424142,2,,false,true
3,43454.6823424142,6975.3768078233,43454.6823424142,2,,false,false
4,44346.7856012043,9661.0499555558,44346.7856012043,4,,false,true
5,54139.1222417472,13880.7716442572,54139.1222417472,5,best_snakes/generation_005.dna,true,true
6,54139.1222417472,13089.4311883518,54139.1222417472,5,,false,false
7,54139.1222417472,16328.7344050646,54139.1222417472,5,,false,false
8,54139.1222417472,17653.9016221428,54139.1222417472,5,,false,false
9,57920.6340275512,18274.2605342805,57920.6340275512,9,,false,true
10,70011.7437861449,23277.6236152898,70011.7437861449,10,best_snakes/generation_010.dna,true,true
11,70011.7437861449,23816.3053961608,70011.7437861449,10,,false,false
12,70011.7437861449,25408.4290951915,70011.7437861449,10,,false,false
13,70011.7437861449,24879.0491139498,70011.7437861449,10,,false,false
14,83575.0939813753,23615.0251957771,83575.0939813753,14,,false,true
15,83575.0939813753,20545.5152039314,83575.0939813753,14,best_snakes/generation_015.dna,true,false
16,83575.0939813753,24340.4550649016,83575.0939813753,14,,false,false
17,83575.0939813753,22608.5369606209,83575.0939813753,14,,false,false
18,83575.0939813753,23627.3604292793,83575.0939813753,14,,false,false
19,83575.0939813753,23749.8689086495,83575.0939813753,14,,false,false
20,83575.0939813753,25613.2519420646,83575.0939813753,14,best_snakes/generation_020.dna,true,false
21,83575.0939813753,23323.0766417961,83575.0939813753,14,,false,false
22,83575.0939813753,27188.4962564284,83575.0939813753,14,,false,false
23,83575.0939813753,25290.0989304330,83575.0939813753,14,,false,false
24,83575.0939813753,26262.1183388249,83575.0939813753,14,,false,false
25,83575.0939813753,29079.9971453099,83575.0939813753,14,best_snakes/generation_025.dna,true,false
26,83575.0939813753,28367.7066349088,83575.0939813753,14,,false,false
27,83575.0939813753,25099.8671464960,83575.0939813753,14,,false,false
28,83575.0939813753,27429.9028189235,83575.0939813753,14,,false,false
