generation,best_fitness,mean_fitness,best_ever_fitness,best_ever_generation,dna_file,is_checkpoint,is_new_record
0,20916.0475185729,2441.2506746522,20916.0475185729,0,best_snakes/generation_000.dna,true,true
1,32028.2377032707,4443.4744412109,32028.2377032707,1,,false,true
2,62318.6858255907,6906.3066920966,62318.6858255907,2,,false,true
3,62318.6858255907,11739.0202953562,62318.6858255907,2,,false,false
4,62318.6858255907,16951.8876562586,62318.6858255907,2,,false,false
5,62318.6858255907,17046.0231470133,62318.6858255907,2,best_snakes/generation_005.dna,true,false
6,66153.4613160037,20026.4385550635,66153.4613160037,6,,false,true
7,66153.4613160037,21989.5350938229,66153.4613160037,6,,false,false
8,76543.4693153345,23196.1034635066,76543.4693153345,8,,false,true
9,88223.8145603093,27094.6198409069,88223.8145603093,9,,false,true
10,88223.8145603093,23586.1661376962,88223.8145603093,9,best_snakes/generation_010.dna,true,false
11,88223.8145603093,27317.4839313975,88223.8145603093,9,,false,false
12,88223.8145603093,28962.0674642634,88223.8145603093,9,,false,false
13,88223.8145603093,29330.2843653404,88223.8145603093,9,,false,false
14,92945.6266305428,30665.3815544159,92945.6266305428,14,,false,true
15,92945.6266305428,33409.8633487383,92945.6266305428,14,best_snakes/generation_015.dna,true,false
16,92945.6266305428,30858.4374093934,92945.6266305428,14,,false,false
17,92945.6266305428,32824.1234335286,92945.6266305428,14,,false,false
18,92945.6266305428,30614.8088033205,92945.6266305428,14,,false,false
19,103263.3829092850,37381.3671837160,103263.3829092850,19,,false,true
20,103263.3829092850,41549.0325393235,103263.3829092850,19,best_snakes/generation_020.dna,true,false
21,103263.3829092850,34667.6384606258,103263.3829092850,19,,false,false
22,103263.3829092850,36354.1937136672,103263.3829092850,19,,false,false
23,105391.8181221880,39482.2533650929,105391.8181221880,23,,false,true
24,105391.8181221880,35923.6573627761,105391.8181221880,23,,false,false
25,105391.8181221880,34956.3827316023,105391.8181221880,23,best_snakes/generation_025.dna,true,false
26,105391.8181221880,39414.3506869996,105391.8181221880,23,,false,false
27,105391.8181221880,34432.3522281205,105391.8181221880,23,,false,false
28,108098.8580480615,42687.4146924545,108098.8580480615,28,,false,true
29,108098.8580480615,39191.2265947499,108098.8580480615,28,,false,false
30,108098.8580480615,44668.0069769525,108098.8580480615,28,best_snakes/generation_030.dna,true,false
31,108098.8580480615,40821.7034744756,108098.8580480615,28,,false,false
32,108098.8580480615,45209.1120422914,108098.8580480615,28,,false,false
33,108200.7000996933,47440.6457195267,108200.7000996933,33,,false,true
34,108200.7000996933,45026.1138641149,108200.7000996933,33,,false,false
35,108200.7000996933,48961.3176151137,108200.7000996933,33,best_snakes/generation_035.dna,true,false
36,119676.6155539724,44005.6821585680,119676.6155539724,36,,false,true
37,119676.6155539724,50587.0515567441,119676.6155539724,36,,false,false
38,119676.6155539724,52687.6237454048,119676.6155539724,36,,false,false
39,119676.6155539724,51392.9237067151,119676.6155539724,36,,false,false
40,119676.6155539724,44641.1077726566,119676.6155539724,36,best_snakes/generation_040.dna,true,false
41,119676.6155539724,49646.0057078584,119676.6155539724,36,,false,false
