selection,run,generation,best_fitness,mean_fitness,dna_file
TOURNAMENT,1,0,40450.7521106880,3355.0469831528,tournament/run_01/best_snakes/generation_000.dna
TOURNAMENT,1,1,40450.7521106880,4550.2007645083,
TOURNAMENT,1,2,40450.7521106880,4125.4106079718,
TOURNAMENT,1,3,40450.7521106880,5061.0905811965,
TOURNAMENT,1,4,40450.7521106880,5286.3216611943,
TOURNAMENT,1,5,40450.7521106880,4403.1819384005,tournament/run_01/best_snakes/generation_005.dna
TOURNAMENT,1,6,40450.7521106880,4882.4933699568,
TOURNAMENT,1,7,49842.8961678040,5161.1200089983,
TOURNAMENT,1,8,49842.8961678040,5220.0676012226,
TOURNAMENT,1,9,49842.8961678040,5928.4341866966,
TOURNAMENT,1,10,49842.8961678040,6599.9235469866,tournament/run_01/best_snakes/generation_010.dna
TOURNAMENT,1,11,49842.8961678040,5900.8931429261,
TOURNAMENT,1,12,54369.9463061680,7935.1997373505,
TOURNAMENT,1,13,57992.0811652333,10741.5743554009,
TOURNAMENT,1,14,57992.0811652333,9389.8904276982,
TOURNAMENT,1,15,57992.0811652333,11117.1857651928,tournament/run_01/best_snakes/generation_015.dna
TOURNAMENT,1,16,57992.0811652333,13952.2028810649,
TOURNAMENT,1,17,61740.0568279378,16264.4676632760,
TOURNAMENT,1,18,61740.0568279378,17251.7019118604,
TOURNAMENT,1,19,62132.1323074098,19772.7865200533,
TOURNAMENT,1,20,62132.1323074098,17375.4961558277,tournament/run_01/best_snakes/generation_020.dna
TOURNAMENT,1,21,63354.9369577512,22982.4054626475,
TOURNAMENT,1,22,63354.9369577512,24306.5786213085,
TOURNAMENT,1,23,66796.7194730888,22876.3737731862,
TOURNAMENT,1,24,70219.6849497525,23399.5212631356,
TOURNAMENT,1,25,95670.0020934737,28362.3660818476,tournament/run_01/best_snakes/generation_025.dna
TOURNAMENT,1,26,95670.0020934737,25266.0733025591,
TOURNAMENT,1,27,95670.0020934737,26024.3616939330,
TOURNAMENT,1,28,95670.0020934737,21869.9306982711,
TOURNAMENT,1,29,95670.0020934737,22255.6639529179,
TOURNAMENT,1,30,95670.0020934737,22971.7536691134,tournament/run_01/best_snakes/generation_030.dna
TOURNAMENT,1,31,95670.0020934737,21666.9122777187,
TOURNAMENT,1,32,95670.0020934737,24733.7310534262,
TOURNAMENT,1,33,95670.0020934737,31060.2989234146,
TOURNAMENT,1,34,95670.0020934737,26237.5712789553,
TOURNAMENT,1,35,95670.0020934737,28691.3938703670,tournament/run_01/best_snakes/generation_035.dna
TOURNAMENT,1,36,95670.0020934737,31792.2972873822,
TOURNAMENT,1,37,95670.0020934737,30005.8261778769,
TOURNAMENT,1,38,95670.0020934737,28918.9247071036,
TOURNAMENT,1,39,95670.0020934737,30115.4736895921,
TOURNAMENT,1,40,95670.0020934737,32256.5020541693,tournament/run_01/best_snakes/generation_040.dna
TOURNAMENT,1,41,95670.0020934737,28681.1034705020,
TOURNAMENT,1,42,97792.0096473885,32853.5272676725,
TOURNAMENT,1,43,97792.0096473885,34208.7789943665,
TOURNAMENT,1,44,97792.0096473885,37307.7091342256,
TOURNAMENT,1,45,108329.2873672162,34506.0271454170,tournament/run_01/best_snakes/generation_045.dna
TOURNAMENT,1,46,108329.2873672162,40431.9726734827,
TOURNAMENT,1,47,108329.2873672162,29730.7307393079,
TOURNAMENT,1,48,108329.2873672162,28560.6461854675,
TOURNAMENT,1,49,108329.2873672162,36359.8333199826,
TOURNAMENT,1,50,108329.2873672162,35754.9206402410,tournament/run_01/best_snakes/generation_050.dna
TOURNAMENT,1,51,108329.2873672162,39392.6240645828,
TOURNAMENT,1,52,108329.2873672162,38765.0921244139,
TOURNAMENT,1,53,108329.2873672162,32455.3371517316,
TOURNAMENT,1,54,108329.2873672162,34157.2206996778,
TOURNAMENT,1,55,108329.2873672162,33466.0439662956,tournament/run_01/best_snakes/generation_055.dna
TOURNAMENT,1,56,108329.2873672162,36901.2086270869,
TOURNAMENT,1,57,108329.2873672162,33029.9891859609,
TOURNAMENT,1,58,108329.2873672162,35981.4354123320,
TOURNAMENT,1,59,108329.2873672162,33936.3345910841,
