selection,run,seed,generations_executed,termination_reason,final_best_fitness,final_mean_fitness,best_ever_fitness,best_ever_generation
TOURNAMENT,1,1369966643,192,STAGNATION,167120.0771051484,46088.9933187248,167120.0771051484,151
TOURNAMENT,2,1369976643,155,STAGNATION,167113.4810830798,45501.5897737925,167113.4810830798,114
TOURNAMENT,3,1369986643,89,STAGNATION,160745.9075235006,54776.3018461877,160745.9075235006,48
TOURNAMENT,4,1369996643,213,STAGNATION,194392.4532327576,68743.3209739440,194392.4532327576,172
TOURNAMENT,5,1370006643,150,STAGNATION,239161.3115202594,78871.6432466561,239161.3115202594,109
ROULETTE,1,1369966643,136,STAGNATION,240163.5531935272,96898.3776276510,240163.5531935272,95
ROULETTE,2,1369976643,104,STAGNATION,132982.6430397727,48537.3697669709,132982.6430397727,63
ROULETTE,3,1369986643,157,STAGNATION,148365.8407716546,63830.2609375057,148365.8407716546,131
ROULETTE,4,1369996643,176,STAGNATION,234985.7484418978,93469.2960961099,234985.7484418978,150
ROULETTE,5,1370006643,131,STAGNATION,187554.4845555974,60175.0531182966,187554.4845555974,90
RANK,1,1369966643,85,STAGNATION,196165.3850488118,63576.6894032902,196165.3850488118,44
RANK,2,1369976643,158,STAGNATION,224793.5048119041,97856.2565228729,224793.5048119041,117
RANK,3,1369986643,66,STAGNATION,202227.9719690742,89260.6914081632,202227.9719690742,25
RANK,4,1369996643,99,STAGNATION,148006.5905920469,44919.1512606734,148006.5905920469,58
RANK,5,1370006643,116,STAGNATION,223803.0485978421,71687.8015720685,223803.0485978421,75
SUS,1,1369966643,131,STAGNATION,275810.5528892709,103126.5768402540,275810.5528892709,90
SUS,2,1369976643,106,STAGNATION,145201.7891505906,52705.1909399920,145201.7891505906,65
SUS,3,1369986643,190,STAGNATION,180631.6488197720,85335.8740383891,180631.6488197720,149
SUS,4,1369996643,179,STAGNATION,211504.3559102732,96720.9456053409,211504.3559102732,138
SUS,5,1370006643,191,STAGNATION,240262.4685520065,102757.2531309412,240262.4685520065,150
TRUNCATION,1,1369966643,132,STAGNATION,224931.9993675505,87640.7662367664,224931.9993675505,114
TRUNCATION,2,1369976643,190,STAGNATION,263458.5253574566,102772.6811203478,263458.5253574566,149
TRUNCATION,3,1369986643,119,STAGNATION,279355.2443649668,134737.5121535957,279355.2443649668,78
TRUNCATION,4,1369996643,121,STAGNATION,231917.4718075502,96704.0204903593,231917.4718075502,80
TRUNCATION,5,1370006643,84,STAGNATION,201719.7940428685,82436.2342591634,201719.7940428685,43
SIGMA,1,1369966643,122,STAGNATION,219867.1373975349,81657.7861730173,219867.1373975349,117
SIGMA,2,1369976643,141,STAGNATION,233127.6856635136,66740.8270133660,233127.6856635136,100
SIGMA,3,1369986643,121,STAGNATION,231077.5620384782,88045.6302043671,231077.5620384782,106
SIGMA,4,1369996643,167,STAGNATION,183514.7380701343,55766.3416394427,183514.7380701343,126
SIGMA,5,1370006643,183,STAGNATION,234858.9421378690,93016.0094009934,234858.9421378690,142
