generation,best_fitness,mean_fitness,best_ever_fitness,best_ever_generation,dna_file,is_checkpoint,is_new_record
0,40450.7521106880,3355.0469831528,40450.7521106880,0,best_snakes/generation_000.dna,true,true
1,45613.8653549399,5003.3840521210,45613.8653549399,1,,false,true
2,45613.8653549399,5946.7862304315,45613.8653549399,1,,false,false
3,58143.9749356588,9360.3624464960,58143.9749356588,3,,false,true
4,66925.2017393093,12274.1539521331,66925.2017393093,4,,false,true
5,66925.2017393093,13571.8257191580,66925.2017393093,4,best_snakes/generation_005.dna,true,false
6,66925.2017393093,14801.1396869320,66925.2017393093,4,,false,false
7,66925.2017393093,17101.7260202281,66925.2017393093,4,,false,false
8,66925.2017393093,17720.6115673427,66925.2017393093,4,,false,false
9,66925.2017393093,22459.9137719979,66925.2017393093,4,,false,false
10,66925.2017393093,22222.4160263851,66925.2017393093,4,best_snakes/generation_010.dna,true,false
11,71529.3542408626,26772.4258822189,71529.3542408626,11,,false,true
12,76368.4709663345,25453.1954307150,76368.4709663345,12,,false,true
13,84386.2061198370,24279.3274170179,84386.2061198370,13,,false,true
14,84393.5885269943,26067.9865547390,84393.5885269943,14,,false,true
15,89700.1014773834,29454.5461400193,89700.1014773834,15,best_snakes/generation_015.dna,true,true
16,108130.0086790587,31455.5704246505,108130.0086790587,16,,false,true
17,108130.0086790587,30472.1285147292,108130.0086790587,16,,false,false
18,108130.0086790587,32495.4225166147,108130.0086790587,16,,false,false
19,108276.9801053343,40183.3116749849,108276.9801053343,19,,false,true
20,108639.1404481383,38674.6940407014,108639.1404481383,20,best_snakes/generation_020.dna,true,true
21,124457.0857545921,42856.6407747514,124457.0857545921,21,,false,true
22,124457.0857545921,47106.4035841211,124457.0857545921,21,,false,false
23,124457.0857545921,44927.1960648889,124457.0857545921,21,,false,false
24,124457.0857545921,48513.0566693207,124457.0857545921,21,,false,false
25,124457.0857545921,47964.3525187883,124457.0857545921,21,best_snakes/generation_025.dna,true,false
26,124824.5709036341,46275.2746928938,124824.5709036341,26,,false,true
27,124824.5709036341,45231.6769960911,124824.5709036341,26,,false,false
28,124824.5709036341,47346.8712187127,124824.5709036341,26,,false,false
29,124824.5709036341,51057.1344699859,124824.5709036341,26,,false,false
30,124824.5709036341,48838.0634631528,124824.5709036341,26,best_snakes/generation_030.dna,true,false
31,124824.5709036341,49214.1582636476,124824.5709036341,26,,false,false
32,124824.5709036341,47255.4232057858,124824.5709036341,26,,false,false
33,124824.5709036341,53407.9521616017,124824.5709036341,26,,false,false
34,124824.5709036341,52081.0971921987,124824.5709036341,26,,false,false
35,136035.0872635386,59321.1105899220,136035.0872635386,35,best_snakes/generation_035.dna,true,true
36,136035.0872635386,50146.4738504730,136035.0872635386,35,,false,false
37,138437.2764565920,54654.5160102967,138437.2764565920,37,,false,true
38,138437.2764565920,52198.5742047748,138437.2764565920,37,,false,false
39,138437.2764565920,61703.1068022342,138437.2764565920,37,,false,false
40,138437.2764565920,54956.0417577669,138437.2764565920,37,best_snakes/generation_040.dna,true,false
41,138437.2764565920,51859.3787792658,138437.2764565920,37,,false,false
42,138437.2764565920,56911.0422949441,138437.2764565920,37,,false,false
43,138437.2764565920,57418.1358394949,138437.2764565920,37,,false,false
44,154445.9063272052,60765.8057711370,154445.9063272052,44,,false,true
45,160626.9347452479,65816.0323915371,160626.9347452479,45,best_snakes/generation_045.dna,true,true
46,160626.9347452479,62088.2957712557,160626.9347452479,45,,false,false
47,167632.7075846461,61217.7341282094,167632.7075846461,47,,false,true
48,167632.7075846461,71074.9899797275,167632.7075846461,47,,false,false
49,167632.7075846461,72848.5169118209,167632.7075846461,47,,false,false
50,173895.4347503179,71142.2213389433,173895.4347503179,50,best_snakes/generation_050.dna,true,true
51,173895.4347503179,82920.7353545875,173895.4347503179,50,,false,false
52,173895.4347503179,79150.5353711705,173895.4347503179,50,,false,false
53,173895.4347503179,78966.3491603545,173895.4347503179,50,,false,false
54,191086.6900031011,88565.5480021887,191086.6900031011,54,,false,true
55,191086.6900031011,91448.2304362047,191086.6900031011,54,best_snakes/generation_055.dna,true,false
56,191086.6900031011,94144.6843765674,191086.6900031011,54,,false,false
57,191086.6900031011,96190.5643289125,191086.6900031011,54,,false,false
58,191086.6900031011,96658.6926414554,191086.6900031011,54,,false,false
59,191086.6900031011,98806.9140479756,191086.6900031011,54,,false,false
60,191086.6900031011,103305.3638367039,191086.6900031011,54,best_snakes/generation_060.dna,true,false
61,191086.6900031011,102086.2654652885,191086.6900031011,54,,false,false
62,191086.6900031011,102160.5985297218,191086.6900031011,54,,false,false
63,191086.6900031011,98237.2597632385,191086.6900031011,54,,false,false
64,191086.6900031011,100298.7823430219,191086.6900031011,54,,false,false
