generation,best_fitness,mean_fitness,best_ever_fitness,best_ever_generation,dna_file,is_checkpoint,is_new_record
0,11493.1618253475,1958.8872492635,11493.1618253475,0,best_snakes/generation_000.dna,true,true
1,34942.7663869530,4917.0161390973,34942.7663869530,1,,false,true
2,34942.7663869530,7748.4482953940,34942.7663869530,1,,false,false
3,42170.0431937521,10933.8685388390,42170.0431937521,3,,false,true
4,65757.2343409424,13901.7449119090,65757.2343409424,4,,false,true
5,65757.2343409424,16225.4699851508,65757.2343409424,4,best_snakes/generation_005.dna,true,false
6,65757.2343409424,20876.8482394771,65757.2343409424,4,,false,false
7,65757.2343409424,22839.3473047997,65757.2343409424,4,,false,false
8,65757.2343409424,19851.8368995698,65757.2343409424,4,,false,false
9,65757.2343409424,25040.1127589521,65757.2343409424,4,,false,false
10,65757.2343409424,26355.4319817426,65757.2343409424,4,best_snakes/generation_010.dna,true,false
11,70089.9157286561,26420.4174010761,70089.9157286561,11,,false,true
12,70089.9157286561,27830.5097145161,70089.9157286561,11,,false,false
13,88231.1289996639,26571.4490559060,88231.1289996639,13,,false,true
14,88231.1289996639,27731.0211524234,88231.1289996639,13,,false,false
15,88231.1289996639,32543.9669435496,88231.1289996639,13,best_snakes/generation_015.dna,true,false
16,88231.1289996639,31774.9383487530,88231.1289996639,13,,false,false
17,88231.1289996639,31170.5392744152,88231.1289996639,13,,false,false
18,88231.1289996639,32692.5817011440,88231.1289996639,13,,false,false
19,88231.1289996639,37392.5242591223,88231.1289996639,13,,false,false
20,118578.5491037765,39412.3137382315,118578.5491037765,20,best_snakes/generation_020.dna,true,true
21,118578.5491037765,38179.1920369891,118578.5491037765,20,,false,false
22,118578.5491037765,38875.0866668734,118578.5491037765,20,,false,false
23,118578.5491037765,37520.8338911287,118578.5491037765,20,,false,false
24,118578.5491037765,43178.0326885980,118578.5491037765,20,,false,false
25,118578.5491037765,40657.5621568200,118578.5491037765,20,best_snakes/generation_025.dna,true,false
26,118578.5491037765,47469.7597429185,118578.5491037765,20,,false,false
27,118578.5491037765,45877.3055428574,118578.5491037765,20,,false,false
28,118578.5491037765,50045.8366160128,118578.5491037765,20,,false,false
29,118578.5491037765,44058.8765209662,118578.5491037765,20,,false,false
30,118578.5491037765,51357.8187347736,118578.5491037765,20,best_snakes/generation_030.dna,true,false
31,118578.5491037765,53575.1232817356,118578.5491037765,20,,false,false
32,118578.5491037765,47974.7474156481,118578.5491037765,20,,false,false
33,135817.8559308953,49953.9257010115,135817.8559308953,33,,false,true
34,135817.8559308953,49696.6309835233,135817.8559308953,33,,false,false
35,135817.8559308953,55662.5055479682,135817.8559308953,33,best_snakes/generation_035.dna,true,false
36,157411.5694179312,51779.7822706639,157411.5694179312,36,,false,true
37,157411.5694179312,52164.6288200377,157411.5694179312,36,,false,false
38,157411.5694179312,51672.0251674108,157411.5694179312,36,,false,false
39,157411.5694179312,55130.8060603265,157411.5694179312,36,,false,false
40,157411.5694179312,56705.6864001405,157411.5694179312,36,best_snakes/generation_040.dna,true,false
41,157411.5694179312,58992.2422782671,157411.5694179312,36,,false,false
42,157411.5694179312,64236.6311353456,157411.5694179312,36,,false,false
43,157411.5694179312,58357.9574352173,157411.5694179312,36,,false,false
44,157411.5694179312,66257.7964901313,157411.5694179312,36,,false,false
45,157411.5694179312,64877.3524585630,157411.5694179312,36,best_snakes/generation_045.dna,true,false
46,157411.5694179312,72206.6317907764,157411.5694179312,36,,false,false
47,157411.5694179312,70095.1640468405,157411.5694179312,36,,false,false
48,157411.5694179312,60933.1004073621,157411.5694179312,36,,false,false
49,157411.5694179312,64321.6081378462,157411.5694179312,36,,false,false
50,157411.5694179312,63232.2463546255,157411.5694179312,36,best_snakes/generation_050.dna,true,false
51,157411.5694179312,69720.6797810095,157411.5694179312,36,,false,false
52,157411.5694179312,67911.0332116312,157411.5694179312,36,,false,false
53,157411.5694179312,67207.9218664865,157411.5694179312,36,,false,false
54,159340.9313771311,71586.5302818581,159340.9313771311,54,,false,true
55,159340.9313771311,69272.4292063519,159340.9313771311,54,best_snakes/generation_055.dna,true,false
56,159340.9313771311,68309.2590099538,159340.9313771311,54,,false,false
57,159340.9313771311,70770.7911352569,159340.9313771311,54,,false,false
58,161066.5952643479,77144.6653715804,161066.5952643479,58,,false,true
59,161066.5952643479,68959.4638209774,161066.5952643479,58,,false,false
60,161066.5952643479,70422.8776110733,161066.5952643479,58,best_snakes/generation_060.dna,true,false
61,161066.5952643479,72898.0470097703,161066.5952643479,58,,false,false
62,161066.5952643479,73341.8893260506,161066.5952643479,58,,false,false
63,167684.0732912037,76440.2578088348,167684.0732912037,63,,false,true
64,167684.0732912037,76562.5090893679,167684.0732912037,63,,false,false
65,167684.0732912037,74168.8868012164,167684.0732912037,63,best_snakes/generation_065.dna,true,false
66,167684.0732912037,69510.8943925521,167684.0732912037,63,,false,false
67,167684.0732912037,69978.2595988282,167684.0732912037,63,,false,false
68,167684.0732912037,72833.2483850883,167684.0732912037,63,,false,false
69,167684.0732912037,72359.1964986794,167684.0732912037,63,,false,false
70,167684.0732912037,70966.2233087866,167684.0732912037,63,best_snakes/generation_070.dna,true,false
71,167684.0732912037,74363.6212301837,167684.0732912037,63,,false,false
72,167684.0732912037,79884.6231454913,167684.0732912037,63,,false,false
73,167684.0732912037,77128.8096523648,167684.0732912037,63,,false,false
74,167684.0732912037,78723.8091225895,167684.0732912037,63,,false,false
75,167684.0732912037,77931.6358630806,167684.0732912037,63,best_snakes/generation_075.dna,true,false
76,170211.8304205265,75396.2258723006,170211.8304205265,76,,false,true
77,170211.8304205265,79809.3716310774,170211.8304205265,76,,false,false
78,170211.8304205265,79104.6494004784,170211.8304205265,76,,false,false
79,177543.5758094132,78588.6256185213,177543.5758094132,79,,false,true
80,177543.5758094132,70506.7612412355,177543.5758094132,79,best_snakes/generation_080.dna,true,false
81,177543.5758094132,78395.0396287881,177543.5758094132,79,,false,false
82,177543.5758094132,82379.2671433023,177543.5758094132,79,,false,false
83,177543.5758094132,78568.7124168227,177543.5758094132,79,,false,false
84,177543.5758094132,80936.3437863262,177543.5758094132,79,,false,false
85,177543.5758094132,77404.2875403376,177543.5758094132,79,best_snakes/generation_085.dna,true,false
86,177543.5758094132,80886.7174105043,177543.5758094132,79,,false,false
87,177543.5758094132,82143.0471888031,177543.5758094132,79,,false,false
88,177543.5758094132,82781.2272565477,177543.5758094132,79,,false,false
89,177543.5758094132,94148.1053108630,177543.5758094132,79,,false,false
90,177543.5758094132,84395.5273365547,177543.5758094132,79,best_snakes/generation_090.dna,true,false
91,177543.5758094132,87200.3791461446,177543.5758094132,79,,false,false
92,177543.5758094132,90810.2296533971,177543.5758094132,79,,false,false
93,177543.5758094132,84583.8732321632,177543.5758094132,79,,false,false
94,177543.5758094132,82740.4867792458,177543.5758094132,79,,false,false
95,177543.5758094132,89415.3415259869,177543.5758094132,79,best_snakes/generation_095.dna,true,false
96,191131.3720002033,85254.4315510581,191131.3720002033,96,,false,true
97,191131.3720002033,86424.2457697281,191131.3720002033,96,,false,false
98,191131.3720002033,96163.0518525060,191131.3720002033,96,,false,false
99,191131.3720002033,84562.3434889584,191131.3720002033,96,,false,false
100,201145.4415693967,97310.8528497858,201145.4415693967,100,best_snakes/generation_100.dna,true,true
101,201145.4415693967,92423.6792891149,201145.4415693967,100,,false,false
102,201145.4415693967,103264.9667059543,201145.4415693967,100,,false,false
103,201145.4415693967,96812.9363412718,201145.4415693967,100,,false,false
104,201145.4415693967,89187.8857476531,201145.4415693967,100,,false,false
105,201145.4415693967,88386.5210019942,201145.4415693967,100,best_snakes/generation_105.dna,true,false
106,201145.4415693967,89341.6339820107,201145.4415693967,100,,false,false
107,201145.4415693967,97964.1947692298,201145.4415693967,100,,false,false
108,201145.4415693967,97231.7853507806,201145.4415693967,100,,false,false
109,201145.4415693967,91675.3421873190,201145.4415693967,100,,false,false
110,201145.4415693967,96489.9290619001,201145.4415693967,100,best_snakes/generation_110.dna,true,false
111,203558.0172924307,105654.1298940427,203558.0172924307,111,,false,true
112,211642.7354641460,109580.6888855560,211642.7354641460,112,,false,true
113,211642.7354641460,102442.6440648909,211642.7354641460,112,,false,false
114,211642.7354641460,111123.4690169102,211642.7354641460,112,,false,false
115,211642.7354641460,100138.0806957523,211642.7354641460,112,best_snakes/generation_115.dna,true,false
116,211642.7354641460,98516.1485127456,211642.7354641460,112,,false,false
117,211642.7354641460,95894.2444369046,211642.7354641460,112,,false,false
118,211642.7354641460,98630.2964046817,211642.7354641460,112,,false,false
119,211642.7354641460,106718.5985028825,211642.7354641460,112,,false,false
120,211642.7354641460,98813.3624109700,211642.7354641460,112,best_snakes/generation_120.dna,true,false
121,211642.7354641460,104720.4898454840,211642.7354641460,112,,false,false
122,211642.7354641460,99057.3755346445,211642.7354641460,112,,false,false
123,216718.9460885617,103767.9134921575,216718.9460885617,123,,false,true
124,216718.9460885617,107416.1939822409,216718.9460885617,123,,false,false
125,216718.9460885617,106886.5601165024,216718.9460885617,123,best_snakes/generation_125.dna,true,false
126,216718.9460885617,97504.6480103644,216718.9460885617,123,,false,false
127,216718.9460885617,101884.1994032284,216718.9460885617,123,,false,false
128,216718.9460885617,102152.4329958954,216718.9460885617,123,,false,false
129,216718.9460885617,100808.4567712752,216718.9460885617,123,,false,false
130,216718.9460885617,100975.0856067225,216718.9460885617,123,best_snakes/generation_130.dna,true,false
131,216718.9460885617,107651.3245204538,216718.9460885617,123,,false,false
132,216718.9460885617,100627.8892445948,216718.9460885617,123,,false,false
133,216718.9460885617,107780.3667367137,216718.9460885617,123,,false,false
134,216718.9460885617,106278.7277935982,216718.9460885617,123,,false,false
135,216718.9460885617,112023.5782916959,216718.9460885617,123,best_snakes/generation_135.dna,true,false
136,216718.9460885617,104029.2668769344,216718.9460885617,123,,false,false
137,216718.9460885617,102881.9104348126,216718.9460885617,123,,false,false
138,216718.9460885617,102413.3369797268,216718.9460885617,123,,false,false
139,216718.9460885617,99914.8716564195,216718.9460885617,123,,false,false
140,216718.9460885617,107818.0953261512,216718.9460885617,123,best_snakes/generation_140.dna,true,false
141,216718.9460885617,96487.9099609751,216718.9460885617,123,,false,false
142,216718.9460885617,105612.4298949470,216718.9460885617,123,,false,false
143,216718.9460885617,114414.0040141134,216718.9460885617,123,,false,false
144,216718.9460885617,102342.5220678641,216718.9460885617,123,,false,false
145,216718.9460885617,110378.0960260394,216718.9460885617,123,best_snakes/generation_145.dna,true,false
146,216718.9460885617,103230.6543757767,216718.9460885617,123,,false,false
147,216718.9460885617,107049.3060129633,216718.9460885617,123,,false,false
148,216718.9460885617,102073.0684503220,216718.9460885617,123,,false,false
149,216718.9460885617,100700.1657972213,216718.9460885617,123,,false,false
150,240262.4685520065,108119.5813917118,240262.4685520065,150,best_snakes/generation_150.dna,true,true
151,240262.4685520065,103605.9408757015,240262.4685520065,150,,false,false
152,240262.4685520065,105491.7758852428,240262.4685520065,150,,false,false
153,240262.4685520065,109439.7283224756,240262.4685520065,150,,false,false
154,240262.4685520065,107853.9397693624,240262.4685520065,150,,false,false
155,240262.4685520065,101982.7621721827,240262.4685520065,150,best_snakes/generation_155.dna,true,false
156,240262.4685520065,106637.2944250660,240262.4685520065,150,,false,false
157,240262.4685520065,108149.8424992715,240262.4685520065,150,,false,false
158,240262.4685520065,107662.0633373174,240262.4685520065,150,,false,false
159,240262.4685520065,105784.2365033705,240262.4685520065,150,,false,false
160,240262.4685520065,99669.8932444548,240262.4685520065,150,best_snakes/generation_160.dna,true,false
161,240262.4685520065,106749.0769376627,240262.4685520065,150,,false,false
162,240262.4685520065,100217.9494939124,240262.4685520065,150,,false,false
163,240262.4685520065,103651.5811918010,240262.4685520065,150,,false,false
164,240262.4685520065,93777.4281741923,240262.4685520065,150,,false,false
165,240262.4685520065,102784.7227477642,240262.4685520065,150,best_snakes/generation_165.dna,true,false
166,240262.4685520065,101884.8216608118,240262.4685520065,150,,false,false
167,240262.4685520065,103587.0693949118,240262.4685520065,150,,false,false
168,240262.4685520065,102942.6553127659,240262.4685520065,150,,false,false
169,240262.4685520065,92338.0364890567,240262.4685520065,150,,false,false
170,240262.4685520065,102897.7944408337,240262.4685520065,150,best_snakes/generation_170.dna,true,false
171,240262.4685520065,109210.3837561607,240262.4685520065,150,,false,false
172,240262.4685520065,103477.5772854061,240262.4685520065,150,,false,false
173,240262.4685520065,105552.3199725467,240262.4685520065,150,,false,false
174,240262.4685520065,99548.3017431853,240262.4685520065,150,,false,false
175,240262.4685520065,98121.7257540751,240262.4685520065,150,best_snakes/generation_175.dna,true,false
176,240262.4685520065,89518.8170116866,240262.4685520065,150,,false,false
177,240262.4685520065,104705.7245992978,240262.4685520065,150,,false,false
178,240262.4685520065,101919.6650744698,240262.4685520065,150,,false,false
179,240262.4685520065,105639.6687619846,240262.4685520065,150,,false,false
180,240262.4685520065,98885.5616100333,240262.4685520065,150,best_snakes/generation_180.dna,true,false
181,240262.4685520065,91324.2732825039,240262.4685520065,150,,false,false
182,240262.4685520065,97085.5691569943,240262.4685520065,150,,false,false
183,240262.4685520065,104208.7897771020,240262.4685520065,150,,false,false
184,240262.4685520065,102067.7777975653,240262.4685520065,150,,false,false
185,240262.4685520065,107102.9476607093,240262.4685520065,150,best_snakes/generation_185.dna,true,false
186,240262.4685520065,104816.7162114073,240262.4685520065,150,,false,false
187,240262.4685520065,102467.3360734590,240262.4685520065,150,,false,false
188,240262.4685520065,106373.6051189352,240262.4685520065,150,,false,false
189,240262.4685520065,97416.5891390264,240262.4685520065,150,,false,false
190,240262.4685520065,102757.2531309412,240262.4685520065,150,best_snakes/generation_190.dna,true,false
