generation,best_fitness,mean_fitness,best_ever_fitness,best_ever_generation,dna_file,is_checkpoint,is_new_record
0,7393.6317989464,1531.6032436002,7393.6317989464,0,best_snakes/generation_000.dna,true,true
1,10440.0756451855,2047.0229818398,10440.0756451855,1,,false,true
2,18602.2230360294,3158.5352080149,18602.2230360294,2,,false,true
3,20720.5438989073,3807.3810845788,20720.5438989073,3,,false,true
4,20720.5438989073,3914.3225243112,20720.5438989073,3,,false,false
5,20720.5438989073,3992.9990167373,20720.5438989073,3,best_snakes/generation_005.dna,true,false
6,35227.9996486594,4588.3751238148,35227.9996486594,6,,false,true
7,35227.9996486594,5545.5435792972,35227.9996486594,6,,false,false
8,35227.9996486594,5385.6425216177,35227.9996486594,6,,false,false
9,35227.9996486594,4608.2023449303,35227.9996486594,6,,false,false
10,40058.5149693162,5867.5900638170,40058.5149693162,10,best_snakes/generation_010.dna,true,true
11,62571.9760471568,7023.2547817310,62571.9760471568,11,,false,true
12,62571.9760471568,7703.6272626820,62571.9760471568,11,,false,false
13,66036.2575159196,9904.3348275509,66036.2575159196,13,,false,true
14,66036.2575159196,8661.7393460116,66036.2575159196,13,,false,false
15,66036.2575159196,8194.4901531113,66036.2575159196,13,best_snakes/generation_015.dna,true,false
16,66036.2575159196,7852.9865994974,66036.2575159196,13,,false,false
17,66036.2575159196,11293.8546207589,66036.2575159196,13,,false,false
18,89698.8478873943,12081.8108634076,89698.8478873943,18,,false,true
19,89698.8478873943,12802.5739697584,89698.8478873943,18,,false,false
20,89698.8478873943,16087.3608161981,89698.8478873943,18,best_snakes/generation_020.dna,true,false
21,89698.8478873943,14897.3249233650,89698.8478873943,18,,false,false
22,89698.8478873943,17360.4382177702,89698.8478873943,18,,false,false
23,89698.8478873943,16207.6889195249,89698.8478873943,18,,false,false
24,89698.8478873943,18227.5047785145,89698.8478873943,18,,false,false
25,95245.7655925523,22438.7083126900,95245.7655925523,25,best_snakes/generation_025.dna,true,true
26,95245.7655925523,24204.2592111027,95245.7655925523,25,,false,false
27,101960.7874468768,26031.9014051832,101960.7874468768,27,,false,true
28,101960.7874468768,25689.2559788472,101960.7874468768,27,,false,false
29,101960.7874468768,22504.8085581378,101960.7874468768,27,,false,false
30,101960.7874468768,24596.9502969776,101960.7874468768,27,best_snakes/generation_030.dna,true,false
31,101960.7874468768,24924.6466996175,101960.7874468768,27,,false,false
32,101960.7874468768,24213.9992407252,101960.7874468768,27,,false,false
33,101960.7874468768,26554.7667275979,101960.7874468768,27,,false,false
34,101960.7874468768,27750.5806590598,101960.7874468768,27,,false,false
35,113643.2597292032,29183.8313349379,113643.2597292032,35,best_snakes/generation_035.dna,true,true
36,113643.2597292032,26490.5751591222,113643.2597292032,35,,false,false
37,113643.2597292032,27279.5477944037,113643.2597292032,35,,false,false
38,113643.2597292032,27708.6120179202,113643.2597292032,35,,false,false
39,113643.2597292032,26481.8445968689,113643.2597292032,35,,false,false
40,119875.4414801448,27292.5763659789,119875.4414801448,40,best_snakes/generation_040.dna,true,true
41,119875.4414801448,25408.7022068982,119875.4414801448,40,,false,false
42,119875.4414801448,29573.2248646974,119875.4414801448,40,,false,false
43,119875.4414801448,28566.0393396907,119875.4414801448,40,,false,false
44,119875.4414801448,27717.5637659563,119875.4414801448,40,,false,false
45,119875.4414801448,29434.7578378196,119875.4414801448,40,best_snakes/generation_045.dna,true,false
46,119875.4414801448,28751.8606057674,119875.4414801448,40,,false,false
47,119875.4414801448,30025.5330258080,119875.4414801448,40,,false,false
48,119875.4414801448,28708.7949516540,119875.4414801448,40,,false,false
49,119875.4414801448,30154.8909584264,119875.4414801448,40,,false,false
50,119875.4414801448,35659.5044261937,119875.4414801448,40,best_snakes/generation_050.dna,true,false
51,119875.4414801448,30050.4672454778,119875.4414801448,40,,false,false
52,119875.4414801448,29330.8387266181,119875.4414801448,40,,false,false
53,119875.4414801448,31400.4378246328,119875.4414801448,40,,false,false
54,119875.4414801448,33065.7206137856,119875.4414801448,40,,false,false
55,119875.4414801448,31412.4468127276,119875.4414801448,40,best_snakes/generation_055.dna,true,false
56,119875.4414801448,34636.7343053555,119875.4414801448,40,,false,false
57,119875.4414801448,36696.7165807034,119875.4414801448,40,,false,false
58,119875.4414801448,32950.6661456603,119875.4414801448,40,,false,false
59,119875.4414801448,30829.0691112419,119875.4414801448,40,,false,false
60,119875.4414801448,31750.5397190238,119875.4414801448,40,best_snakes/generation_060.dna,true,false
61,119875.4414801448,36046.0409983040,119875.4414801448,40,,false,false
62,119875.4414801448,33102.9180883092,119875.4414801448,40,,false,false
63,119875.4414801448,32283.8133472431,119875.4414801448,40,,false,false
64,119875.4414801448,34299.4393308927,119875.4414801448,40,,false,false
