generation,best_fitness,mean_fitness,best_ever_fitness,best_ever_generation,dna_file,is_checkpoint,is_new_record
0,7393.6317989464,1531.6032436002,7393.6317989464,0,best_snakes/generation_000.dna,true,true
1,16556.7969751576,2556.1228755675,16556.7969751576,1,,false,true
2,20761.2403252588,3528.2553027622,20761.2403252588,2,,false,true
3,22659.0188452401,3402.3033052949,22659.0188452401,3,,false,true
4,22659.0188452401,3962.7105439830,22659.0188452401,3,,false,false
5,42525.6643039722,5775.5158889645,42525.6643039722,5,best_snakes/generation_005.dna,true,true
6,42525.6643039722,5980.9191929977,42525.6643039722,5,,false,false
7,57091.8305742099,6987.1920007106,57091.8305742099,7,,false,true
8,57091.8305742099,8317.8974222628,57091.8305742099,7,,false,false
9,57091.8305742099,11839.6061197601,57091.8305742099,7,,false,false
10,61877.5431082328,14955.4919144323,61877.5431082328,10,best_snakes/generation_010.dna,true,true
11,61877.5431082328,17210.9216305598,61877.5431082328,10,,false,false
12,66005.6451935395,26115.8759757614,66005.6451935395,12,,false,true
13,70182.6881905877,33106.5023064919,70182.6881905877,13,,false,true
14,87344.7463197108,35143.0585543998,87344.7463197108,14,,false,true
15,124686.1464929531,35429.6720396299,124686.1464929531,15,best_snakes/generation_015.dna,true,true
16,124686.1464929531,38822.4389147152,124686.1464929531,15,,false,false
17,124686.1464929531,43571.6742293779,124686.1464929531,15,,false,false
18,124686.1464929531,37961.6477833159,124686.1464929531,15,,false,false
19,124686.1464929531,39887.8872090785,124686.1464929531,15,,false,false
20,124686.1464929531,40717.9481476926,124686.1464929531,15,best_snakes/generation_020.dna,true,false
21,124686.1464929531,44010.6854439421,124686.1464929531,15,,false,false
22,124866.2881801512,49368.1127881000,124866.2881801512,22,,false,true
23,130790.1269573160,46740.7929697918,130790.1269573160,23,,false,true
24,130790.1269573160,49522.4934410351,130790.1269573160,23,,false,false
25,130790.1269573160,54565.8327941308,130790.1269573160,23,best_snakes/generation_025.dna,true,false
26,130790.1269573160,54799.9777485457,130790.1269573160,23,,false,false
27,130790.1269573160,52351.6824542923,130790.1269573160,23,,false,false
28,130790.1269573160,49235.6813715968,130790.1269573160,23,,false,false
29,130790.1269573160,64669.9511777361,130790.1269573160,23,,false,false
30,148385.0541363162,56210.3421761742,148385.0541363162,30,best_snakes/generation_030.dna,true,true
31,148385.0541363162,56990.6770637987,148385.0541363162,30,,false,false
32,148385.0541363162,62817.4108816356,148385.0541363162,30,,false,false
33,148385.0541363162,70809.3819910401,148385.0541363162,30,,false,false
34,167130.2647247515,72967.8300636911,167130.2647247515,34,,false,true
35,167142.0122474917,68469.2615761253,167142.0122474917,35,best_snakes/generation_035.dna,true,true
36,167142.0122474917,74299.7776186608,167142.0122474917,35,,false,false
37,167142.0122474917,74668.8998064942,167142.0122474917,35,,false,false
38,167142.0122474917,70008.3560300289,167142.0122474917,35,,false,false
39,167142.0122474917,78556.5056091437,167142.0122474917,35,,false,false
40,167142.0122474917,79451.6086811887,167142.0122474917,35,best_snakes/generation_040.dna,true,false
41,167142.0122474917,67781.1250286845,167142.0122474917,35,,false,false
42,167142.0122474917,79798.5253915804,167142.0122474917,35,,false,false
43,167239.4939042660,78275.7431160296,167239.4939042660,43,,false,true
44,167239.4939042660,82876.8460027212,167239.4939042660,43,,false,false
45,173786.7968489697,87558.2746467799,173786.7968489697,45,best_snakes/generation_045.dna,true,true
46,181940.1793550552,81953.9054493265,181940.1793550552,46,,false,true
47,181940.1793550552,67556.9884780302,181940.1793550552,46,,false,false
48,181940.1793550552,85617.2188992741,181940.1793550552,46,,false,false
49,188284.6876028807,82498.3757543543,188284.6876028807,49,,false,true
50,188284.6876028807,77891.1669179321,188284.6876028807,49,best_snakes/generation_050.dna,true,false
51,188284.6876028807,71869.7461697723,188284.6876028807,49,,false,false
52,188284.6876028807,88695.7178543265,188284.6876028807,49,,false,false
53,188284.6876028807,90312.0297274251,188284.6876028807,49,,false,false
54,188284.6876028807,90774.7040735364,188284.6876028807,49,,false,false
55,188284.6876028807,95939.0388926921,188284.6876028807,49,best_snakes/generation_055.dna,true,false
56,188284.6876028807,82475.0175838781,188284.6876028807,49,,false,false
57,188284.6876028807,81119.9815279808,188284.6876028807,49,,false,false
58,209211.7933324751,80147.6149937196,209211.7933324751,58,,false,true
59,209211.7933324751,85567.9056963598,209211.7933324751,58,,false,false
60,209211.7933324751,92491.8141773747,209211.7933324751,58,best_snakes/generation_060.dna,true,false
61,209211.7933324751,89773.8700743518,209211.7933324751,58,,false,false
62,209211.7933324751,88010.2154126631,209211.7933324751,58,,false,false
63,209211.7933324751,89117.9299513510,209211.7933324751,58,,false,false
64,209211.7933324751,85948.6818423909,209211.7933324751,58,,false,false
65,209211.7933324751,84259.4677641626,209211.7933324751,58,best_snakes/generation_065.dna,true,false
66,209211.7933324751,88650.0831731860,209211.7933324751,58,,false,false
67,209211.7933324751,87181.1655577875,209211.7933324751,58,,false,false
68,209211.7933324751,90248.8759097340,209211.7933324751,58,,false,false
69,209211.7933324751,89539.5773335482,209211.7933324751,58,,false,false
70,209211.7933324751,89210.9742110649,209211.7933324751,58,best_snakes/generation_070.dna,true,false
71,209211.7933324751,89302.3950469621,209211.7933324751,58,,false,false
72,209211.7933324751,89128.7210439505,209211.7933324751,58,,false,false
73,209211.7933324751,82824.3324490949,209211.7933324751,58,,false,false
74,209211.7933324751,84243.0796868575,209211.7933324751,58,,false,false
75,209211.7933324751,84707.5935095365,209211.7933324751,58,best_snakes/generation_075.dna,true,false
76,209211.7933324751,81004.0525323324,209211.7933324751,58,,false,false
77,209211.7933324751,87637.8478161092,209211.7933324751,58,,false,false
78,209211.7933324751,91811.6714214637,209211.7933324751,58,,false,false
79,209211.7933324751,80810.4516984770,209211.7933324751,58,,false,false
80,231917.4718075502,78353.1019525754,231917.4718075502,80,best_snakes/generation_080.dna,true,true
81,231917.4718075502,91376.1267617462,231917.4718075502,80,,false,false
82,231917.4718075502,88150.6067457704,231917.4718075502,80,,false,false
83,231917.4718075502,69749.4246507347,231917.4718075502,80,,false,false
84,231917.4718075502,88513.4922732036,231917.4718075502,80,,false,false
85,231917.4718075502,82622.6225770015,231917.4718075502,80,best_snakes/generation_085.dna,true,false
86,231917.4718075502,85083.1983398055,231917.4718075502,80,,false,false
87,231917.4718075502,80480.9139808129,231917.4718075502,80,,false,false
88,231917.4718075502,82193.4228196808,231917.4718075502,80,,false,false
89,231917.4718075502,81641.7925639221,231917.4718075502,80,,false,false
90,231917.4718075502,83356.7058626091,231917.4718075502,80,best_snakes/generation_090.dna,true,false
91,231917.4718075502,89714.8307581036,231917.4718075502,80,,false,false
92,231917.4718075502,86438.1879117147,231917.4718075502,80,,false,false
93,231917.4718075502,86448.7489574688,231917.4718075502,80,,false,false
94,231917.4718075502,88266.0056715411,231917.4718075502,80,,false,false
95,231917.4718075502,88957.0689079846,231917.4718075502,80,best_snakes/generation_095.dna,true,false
96,231917.4718075502,85146.2934869782,231917.4718075502,80,,false,false
97,231917.4718075502,90166.4942639224,231917.4718075502,80,,false,false
98,231917.4718075502,87014.8535331473,231917.4718075502,80,,false,false
99,231917.4718075502,92674.2147997043,231917.4718075502,80,,false,false
100,231917.4718075502,90884.3869022038,231917.4718075502,80,best_snakes/generation_100.dna,true,false
101,231917.4718075502,79821.4302832816,231917.4718075502,80,,false,false
102,231917.4718075502,88092.9226613092,231917.4718075502,80,,false,false
103,231917.4718075502,90964.4231545915,231917.4718075502,80,,false,false
104,231917.4718075502,94937.2746518917,231917.4718075502,80,,false,false
105,231917.4718075502,98105.9557318073,231917.4718075502,80,best_snakes/generation_105.dna,true,false
106,231917.4718075502,92248.8569654569,231917.4718075502,80,,false,false
107,231917.4718075502,104502.2990305401,231917.4718075502,80,,false,false
108,231917.4718075502,94295.3848177826,231917.4718075502,80,,false,false
109,231917.4718075502,91702.0275413412,231917.4718075502,80,,false,false
110,231917.4718075502,94905.3731562569,231917.4718075502,80,best_snakes/generation_110.dna,true,false
111,231917.4718075502,87559.7790623535,231917.4718075502,80,,false,false
112,231917.4718075502,88951.4324571927,231917.4718075502,80,,false,false
113,231917.4718075502,96702.0755846291,231917.4718075502,80,,false,false
114,231917.4718075502,86451.3444293758,231917.4718075502,80,,false,false
115,231917.4718075502,87564.2526840315,231917.4718075502,80,best_snakes/generation_115.dna,true,false
116,231917.4718075502,96705.6801811465,231917.4718075502,80,,false,false
117,231917.4718075502,99268.2507190914,231917.4718075502,80,,false,false
118,231917.4718075502,102614.3511857254,231917.4718075502,80,,false,false
119,231917.4718075502,101974.6066329518,231917.4718075502,80,,false,false
120,231917.4718075502,96704.0204903593,231917.4718075502,80,best_snakes/generation_120.dna,true,false
